M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
6976,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6976,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6976,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6976,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6976,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6976,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7865,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7865,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7865,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7865,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7865,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7865,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7842,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7842,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7842,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7842,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7842,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7842,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7250,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7250,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7250,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7250,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7250,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7250,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7192,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7192,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7192,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7192,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7192,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7192,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7097,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7097,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7097,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7097,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7097,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7097,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7096,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7096,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7096,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7096,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7096,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7096,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7267,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7267,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7267,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7267,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7267,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7267,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6797,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6797,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6797,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6797,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6797,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6797,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6704,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6704,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6704,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6704,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6704,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6704,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
